Date;US dollar (USD);Euro (EUR)
01.01.1979;226.0;137.06
02.01.1979;226.8;137.29
03.01.1979;218.6;134.01
04.01.1979;223.15;136.79
05.01.1979;225.5;138.35
08.01.1979;223.1;136.38
09.01.1979;224.0;137.29
10.01.1979;220.7;135.48
11.01.1979;220.65;135.94
12.01.1979;217.6;134.08
15.01.1979;216.85;133.83
16.01.1979;220.65;135.62
17.01.1979;227.25;139.22
18.01.1979;231.75;141.66
19.01.1979;230.55;141.14
22.01.1979;235.0;144.0
23.01.1979;230.0;141.14
24.01.1979;236.1;144.69
25.01.1979;233.85;143.98
26.01.1979;235.45;144.64
29.01.1979;235.2;145.25
30.01.1979;233.5;144.09
31.01.1979;233.7;144.84
01.02.1979;229.35;142.85
02.02.1979;230.3;143.48
05.02.1979;243.1;150.26
06.02.1979;244.5;150.8
07.02.1979;251.6;153.67
08.02.1979;250.5;153.49
09.02.1979;246.75;151.3
12.02.1979;244.25;150.01
13.02.1979;240.6;148.1
14.02.1979;240.65;148.25
15.02.1979;247.75;152.37
16.02.1979;247.05;152.19
19.02.1979;248.1;152.84
20.02.1979;247.0;152.24
21.02.1979;250.75;154.63
22.02.1979;252.35;155.4
23.02.1979;251.0;154.44
26.02.1979;248.6;152.73
27.02.1979;247.9;152.46
28.02.1979;251.3;154.64
01.03.1979;248.8;153.27
02.03.1979;248.0;152.83
05.03.1979;238.15;147.01
06.03.1979;239.75;147.91
07.03.1979;242.25;149.08
08.03.1979;239.2;147.09
09.03.1979;241.0;148.43
12.03.1979;240.0;148.01
13.03.1979;239.1;147.76
14.03.1979;239.5;147.76
15.03.1979;240.1;148.22
16.03.1979;244.0;150.77
19.03.1979;242.25;149.66
20.03.1979;242.1;149.41
21.03.1979;239.9;148.28
22.03.1979;242.85;149.85
23.03.1979;242.5;149.7
26.03.1979;245.25;150.98
27.03.1979;244.35;150.72
28.03.1979;244.4;150.69
29.03.1979;241.5;149.12
30.03.1979;240.1;148.04
02.04.1979;239.7;148.52
03.04.1979;240.0;148.77
04.04.1979;239.75;148.51
05.04.1979;240.65;149.14
06.04.1979;239.75;148.52
09.04.1979;240.2;149.87
10.04.1979;239.75;149.27
11.04.1979;238.35;148.25
12.04.1979;233.95;145.91
13.04.1979;233.95;145.88
16.04.1979;233.95;145.88
17.04.1979;231.9;144.82
18.04.1979;233.2;145.35
19.04.1979;240.9;149.87
20.04.1979;236.4;147.67
23.04.1979;236.85;147.78
24.04.1979;239.7;149.25
25.04.1979;241.8;150.41
26.04.1979;242.2;150.7
27.04.1979;243.7;151.15
30.04.1979;245.3;152.76
01.05.1979;247.3;152.8
02.05.1979;246.3;153.16
03.05.1979;246.5;153.28
04.05.1979;248.45;154.48
07.05.1979;248.45;154.48
08.05.1979;248.95;154.76
09.05.1979;247.95;154.12
10.05.1979;252.25;157.08
11.05.1979;251.5;156.73
14.05.1979;251.0;156.42
15.05.1979;255.5;159.57
16.05.1979;256.5;160.1
17.05.1979;256.8;160.68
18.05.1979;256.4;161.08
21.05.1979;262.0;164.85
22.05.1979;265.4;166.79
23.05.1979;264.15;165.89
24.05.1979;263.75;165.43
25.05.1979;270.6;170.0
28.05.1979;270.6;169.99
29.05.1979;273.8;172.21
30.05.1979;270.25;169.65
31.05.1979;274.6;172.0
01.06.1979;275.1;172.68
04.06.1979;272.9;171.04
05.06.1979;274.75;172.29
06.06.1979;280.0;175.7
07.06.1979;276.05;173.15
08.06.1979;280.0;175.45
11.06.1979;282.35;176.98
12.06.1979;277.75;173.99
13.06.1979;276.6;173.07
14.06.1979;279.0;174.47
15.06.1979;280.0;174.13
18.06.1979;278.0;172.81
19.06.1979;280.3;172.97
20.06.1979;281.35;173.13
21.06.1979;282.3;173.45
22.06.1979;283.45;173.68
25.06.1979;283.85;172.89
26.06.1979;281.45;172.23
27.06.1979;281.8;172.09
28.06.1979;275.9;168.39
29.06.1979;277.5;169.03
02.07.1979;282.5;172.26
03.07.1979;281.35;171.44
04.07.1979;283.5;172.12
05.07.1979;288.25;174.68
06.07.1979;290.25;176.45
09.07.1979;287.85;175.53
10.07.1979;290.5;176.61
11.07.1979;290.3;175.8
12.07.1979;290.75;176.13
13.07.1979;287.45;174.13
16.07.1979;292.8;176.89
17.07.1979;296.3;178.16
18.07.1979;302.15;181.13
19.07.1979;299.15;179.47
20.07.1979;298.75;180.51
23.07.1979;304.9;183.26
24.07.1979;305.25;183.27
25.07.1979;303.35;182.68
26.07.1979;305.2;183.91
27.07.1979;305.8;184.56
30.07.1979;301.4;182.35
31.07.1979;296.45;179.68
01.08.1979;290.1;175.64
02.08.1979;291.5;176.3
03.08.1979;286.5;173.57
06.08.1979;282.7;171.07
07.08.1979;285.1;172.69
08.08.1979;289.0;174.96
09.08.1979;297.1;179.36
10.08.1979;303.75;183.46
13.08.1979;298.75;180.6
14.08.1979;292.0;176.8
15.08.1979;301.85;182.82
16.08.1979;297.85;180.26
17.08.1979;300.55;181.98
20.08.1979;298.75;180.89
21.08.1979;300.5;181.99
22.08.1979;311.0;188.18
23.08.1979;310.05;187.54
24.08.1979;314.75;190.31
27.08.1979;314.75;190.31
28.08.1979;316.75;191.73
29.08.1979;315.2;190.67
30.08.1979;319.15;193.34
31.08.1979;315.1;190.38
03.09.1979;322.9;195.21
04.09.1979;325.0;196.34
05.09.1979;329.0;198.56
06.09.1979;335.5;201.76
07.09.1979;329.15;197.74
10.09.1979;336.3;201.8
11.09.1979;339.5;204.14
12.09.1979;337.1;202.6
13.09.1979;332.95;200.52
14.09.1979;345.8;208.27
17.09.1979;351.75;211.64
18.09.1979;375.75;226.0
19.09.1979;369.0;221.68
20.09.1979;380.0;225.5
21.09.1979;369.0;218.73
24.09.1979;380.4;225.76
25.09.1979;376.7;223.65
26.09.1979;373.75;221.44
27.09.1979;395.5;232.67
28.09.1979;397.25;233.23
01.10.1979;414.75;243.27
02.10.1979;426.0;251.66
03.10.1979;402.0;237.98
04.10.1979;384.0;227.75
05.10.1979;385.0;228.52
08.10.1979;372.0;224.06
09.10.1979;385.8;233.04
10.10.1979;413.0;247.46
11.10.1979;401.5;241.06
12.10.1979;395.0;237.4
15.10.1979;402.9;242.74
16.10.1979;394.25;237.97
17.10.1979;386.0;233.32
18.10.1979;380.5;229.4
19.10.1979;393.0;236.93
22.10.1979;392.0;236.85
23.10.1979;385.0;233.43
24.10.1979;395.0;238.99
25.10.1979;391.8;236.8
26.10.1979;375.0;227.05
29.10.1979;374.0;227.05
30.10.1979;377.6;229.12
31.10.1979;382.0;231.45
01.11.1979;378.5;229.08
02.11.1979;372.8;224.9
05.11.1979;381.0;229.5
06.11.1979;384.3;232.42
07.11.1979;395.0;237.68
08.11.1979;389.5;235.34
09.11.1979;389.5;235.21
12.11.1979;393.25;237.98
13.11.1979;387.2;234.05
14.11.1979;390.0;234.56
15.11.1979;386.0;232.2
16.11.1979;390.35;234.16
19.11.1979;389.85;232.51
20.11.1979;387.75;231.48
21.11.1979;396.15;235.64
22.11.1979;393.15;234.26
23.11.1979;392.0;233.75
26.11.1979;395.25;234.97
27.11.1979;393.75;233.94
28.11.1979;411.2;244.13
29.11.1979;411.7;243.78
30.11.1979;415.65;244.87
03.12.1979;428.75;250.15
04.12.1979;431.2;253.44
05.12.1979;426.4;252.6
06.12.1979;433.75;256.43
07.12.1979;430.4;255.91
10.12.1979;431.15;256.1
11.12.1979;445.5;262.89
12.12.1979;446.25;263.0
13.12.1979;458.8;270.17
14.12.1979;456.8;269.8
17.12.1979;469.5;276.99
18.12.1979;477.75;281.22
19.12.1979;488.5;287.18
20.12.1979;471.5;277.57
21.12.1979;473.1;278.61
24.12.1979;473.1;277.44
25.12.1979;473.1;277.44
26.12.1979;473.1;277.44
27.12.1979;473.1;275.92
28.12.1979;512.0;299.02
31.12.1979;512.0;299.12
01.01.1980;512.0;299.12
02.01.1980;559.5;325.32
03.01.1980;634.0;368.66
04.01.1980;588.0;342.56
07.01.1980;633.5;368.22
08.01.1980;610.0;355.16
09.01.1980;607.2;353.19
10.01.1980;602.85;351.34
11.01.1980;623.0;363.71
14.01.1980;660.0;385.03
15.01.1980;684.0;400.37
16.01.1980;760.0;444.09
17.01.1980;750.0;438.5
18.01.1980;835.0;487.96
21.01.1980;850.0;497.88
22.01.1980;737.5;433.05
23.01.1980;695.0;407.36
24.01.1980;717.0;420.84
25.01.1980;668.0;392.36
28.01.1980;624.0;367.71
29.01.1980;674.25;397.03
30.01.1980;691.0;406.28
31.01.1980;653.0;385.01
01.02.1980;676.5;398.89
04.02.1980;669.75;394.51
05.02.1980;682.0;401.55
06.02.1980;709.0;416.0
07.02.1980;699.25;411.02
08.02.1980;692.0;407.18
11.02.1980;710.5;416.94
12.02.1980;694.5;408.16
13.02.1980;696.75;408.22
14.02.1980;682.0;399.78
15.02.1980;667.0;391.86
18.02.1980;661.5;388.97
19.02.1980;652.25;385.06
20.02.1980;606.0;357.55
21.02.1980;665.0;392.31
22.02.1980;630.0;373.37
25.02.1980;616.5;366.23
26.02.1980;642.25;381.78
27.02.1980;636.0;377.81
28.02.1980;646.0;383.84
29.02.1980;637.0;381.48
03.03.1980;633.75;380.82
04.03.1980;631.25;380.24
05.03.1980;643.5;387.82
06.03.1980;626.0;378.59
07.03.1980;609.0;368.65
10.03.1980;585.0;355.97
11.03.1980;570.25;347.63
12.03.1980;585.7;356.17
13.03.1980;556.5;340.69
14.03.1980;523.0;322.58
17.03.1980;484.0;304.93
18.03.1980;481.5;303.63
19.03.1980;527.0;331.56
20.03.1980;561.0;351.56
21.03.1980;525.0;331.04
24.03.1980;558.25;353.79
25.03.1980;547.25;347.96
26.03.1980;507.5;322.01
27.03.1980;485.25;311.55
28.03.1980;490.0;315.84
31.03.1980;494.5;321.56
01.04.1980;509.5;335.24
02.04.1980;500.5;326.94
03.04.1980;485.75;317.99
04.04.1980;485.75;317.99
07.04.1980;485.75;317.99
08.04.1980;528.0;343.68
09.04.1980;554.0;352.08
10.04.1980;526.0;333.39
11.04.1980;530.5;335.36
14.04.1980;529.75;333.99
15.04.1980;497.5;317.79
16.04.1980;520.0;327.56
17.04.1980;513.0;321.65
18.04.1980;515.6;323.45
21.04.1980;506.0;316.63
22.04.1980;502.4;315.55
23.04.1980;506.5;313.01
24.04.1980;515.7;317.75
25.04.1980;551.5;338.96
28.04.1980;524.25;320.27
29.04.1980;513.75;314.16
30.04.1980;518.0;317.27
01.05.1980;490.0;300.13
02.05.1980;512.5;316.66
05.05.1980;512.5;316.66
06.05.1980;512.5;312.37
07.05.1980;510.0;310.19
08.05.1980;515.75;314.84
09.05.1980;508.25;312.68
12.05.1980;513.25;313.4
13.05.1980;512.0;312.51
14.05.1980;525.0;320.07
15.05.1980;517.0;314.89
16.05.1980;516.5;315.56
19.05.1980;513.75;314.62
20.05.1980;507.75;311.06
21.05.1980;513.5;312.21
22.05.1980;501.0;304.37
23.05.1980;511.25;309.12
26.05.1980;511.25;309.12
27.05.1980;514.8;308.53
28.05.1980;526.5;316.67
29.05.1980;519.6;313.15
30.05.1980;535.5;323.09
02.06.1980;561.5;339.08
03.06.1980;552.5;333.84
04.06.1980;571.5;344.39
05.06.1980;581.75;350.63
06.06.1980;597.0;358.18
09.06.1980;623.75;373.88
10.06.1980;604.0;362.21
11.06.1980;596.0;358.14
12.06.1980;590.0;354.38
13.06.1980;608.4;364.02
16.06.1980;595.0;357.36
17.06.1980;591.75;356.3
18.06.1980;602.5;362.21
19.06.1980;599.0;360.39
20.06.1980;602.9;362.79
23.06.1980;596.5;358.53
24.06.1980;603.0;363.04
25.06.1980;622.5;374.57
26.06.1980;624.5;375.73
27.06.1980;637.5;383.61
30.06.1980;653.5;392.72
01.07.1980;660.0;396.81
02.07.1980;661.5;397.86
03.07.1980;663.5;398.78
04.07.1980;666.5;399.04
07.07.1980;667.5;397.46
08.07.1980;687.5;408.84
09.07.1980;671.0;399.38
10.07.1980;656.5;390.55
11.07.1980;667.0;397.05
14.07.1980;650.0;387.23
15.07.1980;619.5;370.26
16.07.1980;624.75;372.87
17.07.1980;627.25;372.97
18.07.1980;606.0;362.02
21.07.1980;617.5;368.06
22.07.1980;613.0;364.44
23.07.1980;631.25;375.55
24.07.1980;643.0;381.77
25.07.1980;651.75;387.39
28.07.1980;643.5;383.11
29.07.1980;646.75;387.63
30.07.1980;629.0;380.12
31.07.1980;614.25;372.37
01.08.1980;622.0;379.26
04.08.1980;630.75;383.0
05.08.1980;630.5;381.27
06.08.1980;627.75;378.31
07.08.1980;629.5;381.67
08.08.1980;630.0;382.11
11.08.1980;617.0;374.78
12.08.1980;605.0;367.18
13.08.1980;615.25;373.5
14.08.1980;626.0;381.24
15.08.1980;624.5;380.01
18.08.1980;612.25;374.39
19.08.1980;624.0;382.52
20.08.1980;634.75;388.59
21.08.1980;645.25;395.41
22.08.1980;639.2;393.69
25.08.1980;639.2;393.69
26.08.1980;628.85;386.84
27.08.1980;633.85;389.48
28.08.1980;635.3;388.38
29.08.1980;631.25;386.52
01.09.1980;628.75;384.19
02.09.1980;640.0;389.68
03.09.1980;636.75;387.28
04.09.1980;647.25;393.64
05.09.1980;651.0;396.91
08.09.1980;672.0;409.01
09.09.1980;670.5;408.45
10.09.1980;686.5;418.0
11.09.1980;674.0;410.18
12.09.1980;685.5;417.83
15.09.1980;666.5;406.83
16.09.1980;668.0;408.09
17.09.1980;673.0;410.48
18.09.1980;672.0;411.78
19.09.1980;674.0;414.08
22.09.1980;710.0;437.7
23.09.1980;711.0;439.62
24.09.1980;710.5;436.05
25.09.1980;697.75;429.08
26.09.1980;698.75;431.24
29.09.1980;679.25;420.63
30.09.1980;666.75;412.83
01.10.1980;682.0;421.52
02.10.1980;665.75;412.11
03.10.1980;660.5;408.97
06.10.1980;675.5;415.79
07.10.1980;678.15;418.72
08.10.1980;677.0;417.58
09.10.1980;690.0;425.97
10.10.1980;685.25;422.79
13.10.1980;679.75;420.03
14.10.1980;668.5;414.51
15.10.1980;678.0;422.02
16.10.1980;674.0;420.06
17.10.1980;670.5;420.34
20.10.1980;657.0;415.45
21.10.1980;652.5;412.84
22.10.1980;660.0;417.88
23.10.1980;634.5;401.19
24.10.1980;633.0;401.01
27.10.1980;637.25;406.42
28.10.1980;631.75;405.23
29.10.1980;644.0;411.75
30.10.1980;642.5;412.66
31.10.1980;629.0;404.91
03.11.1980;640.5;414.58
04.11.1980;646.0;418.09
05.11.1980;652.0;427.16
06.11.1980;632.0;414.49
07.11.1980;596.0;392.9
10.11.1980;612.5;395.29
11.11.1980;598.5;385.18
12.11.1980;619.5;400.05
13.11.1980;622.0;400.33
14.11.1980;612.5;396.48
17.11.1980;611.75;401.25
18.11.1980;619.0;403.91
19.11.1980;629.75;408.59
20.11.1980;630.5;410.68
21.11.1980;634.75;415.47
24.11.1980;631.0;412.75
25.11.1980;616.25;402.53
26.11.1980;623.0;407.86
27.11.1980;622.0;407.95
28.11.1980;619.75;406.73
01.12.1980;635.0;419.19
02.12.1980;627.0;414.59
03.12.1980;627.25;414.01
04.12.1980;631.5;417.49
05.12.1980;617.0;410.93
08.12.1980;617.25;411.18
09.12.1980;604.0;405.97
10.12.1980;579.0;393.29
11.12.1980;558.0;381.09
12.12.1980;562.75;382.18
15.12.1980;579.0;389.73
16.12.1980;561.0;384.35
17.12.1980;575.5;388.86
18.12.1980;573.5;388.78
19.12.1980;575.0;379.74
22.12.1980;594.75;397.72
23.12.1980;602.5;399.21
24.12.1980;602.5;398.45
25.12.1980;602.5;398.45
26.12.1980;602.5;398.45
29.12.1980;593.75;396.03
30.12.1980;589.75;391.8
31.12.1980;589.75;392.41
01.01.1981;589.75;392.41
02.01.1981;589.75;396.09
05.01.1981;597.5;395.27
06.01.1981;599.25;395.28
07.01.1981;585.0;387.88
08.01.1981;574.75;384.36
09.01.1981;577.75;388.87
12.01.1981;562.0;378.96
13.01.1981;562.75;382.95
14.01.1981;556.5;377.62
15.01.1981;571.5;388.71
16.01.1981;560.75;382.63
19.01.1981;566.75;386.47
20.01.1981;562.0;382.75
21.01.1981;578.0;391.84
22.01.1981;564.0;387.79
23.01.1981;553.0;381.41
26.01.1981;528.5;367.71
27.01.1981;524.0;366.82
28.01.1981;523.5;368.88
29.01.1981;493.75;349.42
30.01.1981;506.5;363.31
02.02.1981;493.5;353.36
03.02.1981;486.25;351.25
04.02.1981;505.0;361.61
05.02.1981;498.5;361.24
06.02.1981;500.5;361.93
09.02.1981;512.5;371.01
10.02.1981;519.5;377.32
11.02.1981;501.0;364.39
12.02.1981;490.25;361.7
13.02.1981;491.5;367.37
16.02.1981;490.25;372.24
17.02.1981;500.75;373.46
18.02.1981;505.0;375.08
19.02.1981;503.25;367.49
20.02.1981;511.5;366.88
23.02.1981;501.5;362.16
24.02.1981;503.0;365.04
25.02.1981;500.5;362.34
26.02.1981;492.0;357.82
27.02.1981;489.0;357.95
02.03.1981;465.5;344.46
03.03.1981;471.0;348.93
04.03.1981;465.5;341.58
05.03.1981;461.5;339.08
06.03.1981;467.0;343.28
09.03.1981;474.25;346.15
10.03.1981;487.25;353.26
11.03.1981;476.25;347.21
12.03.1981;478.0;347.99
13.03.1981;492.0;357.69
16.03.1981;499.75;360.59
17.03.1981;493.25;355.17
18.03.1981;506.0;359.93
19.03.1981;510.0;360.56
20.03.1981;516.75;368.96
23.03.1981;526.0;381.39
24.03.1981;536.25;387.98
25.03.1981;528.0;382.54
26.03.1981;539.5;394.11
27.03.1981;538.75;396.44
30.03.1981;526.5;386.36
31.03.1981;513.75;375.1
01.04.1981;514.25;375.2
02.04.1981;519.5;380.19
03.04.1981;523.0;385.63
06.04.1981;533.75;398.87
07.04.1981;514.25;382.04
08.04.1981;508.5;375.31
09.04.1981;503.0;374.19
10.04.1981;493.5;368.13
13.04.1981;473.75;356.56
14.04.1981;483.0;362.53
15.04.1981;476.25;360.57
16.04.1981;482.5;365.61
17.04.1981;482.5;365.61
20.04.1981;482.5;365.61
21.04.1981;481.0;364.9
22.04.1981;501.0;376.17
23.04.1981;488.5;367.71
24.04.1981;494.5;374.3
27.04.1981;483.0;365.6
28.04.1981;482.75;366.28
29.04.1981;477.25;365.77
30.04.1981;482.75;369.74
01.05.1981;487.5;373.06
04.05.1981;487.5;373.06
05.05.1981;476.25;374.62
06.05.1981;482.0;377.07
07.05.1981;477.75;375.5
08.05.1981;485.75;379.19
11.05.1981;493.0;390.76
12.05.1981;484.0;385.58
13.05.1981;484.25;385.67
14.05.1981;476.5;382.29
15.05.1981;485.0;388.95
18.05.1981;481.75;384.68
19.05.1981;481.5;385.25
20.05.1981;479.75;382.64
21.05.1981;475.0;382.33
22.05.1981;472.75;380.11
25.05.1981;472.75;380.11
26.05.1981;466.5;376.13
27.05.1981;466.75;377.8
28.05.1981;479.0;385.34
29.05.1981;479.25;386.14
01.06.1981;483.25;389.69
02.06.1981;474.0;387.16
03.06.1981;475.5;387.8
04.06.1981;462.5;385.75
05.06.1981;460.0;384.49
08.06.1981;473.5;394.14
09.06.1981;460.5;382.97
10.06.1981;465.25;381.98
11.06.1981;464.25;385.84
12.06.1981;472.0;391.83
15.06.1981;471.75;384.39
16.06.1981;461.5;375.72
17.06.1981;461.75;375.41
18.06.1981;459.0;376.84
19.06.1981;458.25;377.79
22.06.1981;462.0;378.4
23.06.1981;466.5;381.51
24.06.1981;462.0;379.97
25.06.1981;446.5;369.97
26.06.1981;442.0;365.3
29.06.1981;428.75;355.08
30.06.1981;426.0;353.4
01.07.1981;422.0;352.32
02.07.1981;414.5;346.51
03.07.1981;414.0;346.33
06.07.1981;403.75;341.69
07.07.1981;405.0;341.9
08.07.1981;397.75;339.51
09.07.1981;406.25;346.5
10.07.1981;416.5;352.21
13.07.1981;413.0;346.93
14.07.1981;402.25;340.93
15.07.1981;412.25;344.81
16.07.1981;418.25;349.22
17.07.1981;415.0;348.41
20.07.1981;412.5;349.07
21.07.1981;406.0;346.47
22.07.1981;411.5;347.84
23.07.1981;407.75;344.71
24.07.1981;407.5;344.86
27.07.1981;408.75;345.05
28.07.1981;401.5;339.86
29.07.1981;401.5;341.04
30.07.1981;402.25;342.1
31.07.1981;406.0;346.87
03.08.1981;392.5;341.69
04.08.1981;391.25;341.72
05.08.1981;392.4;340.46
06.08.1981;393.25;342.58
07.08.1981;397.25;348.03
10.08.1981;393.75;349.64
11.08.1981;401.0;355.37
12.08.1981;417.5;361.56
13.08.1981;407.25;355.21
14.08.1981;413.0;361.88
17.08.1981;411.5;356.53
18.08.1981;420.0;362.26
19.08.1981;431.5;373.43
20.08.1981;429.0;368.31
21.08.1981;429.5;365.93
24.08.1981;422.0;361.37
25.08.1981;409.75;356.0
26.08.1981;414.0;355.47
27.08.1981;411.75;353.74
28.08.1981;425.0;362.53
31.08.1981;425.0;362.53
01.09.1981;421.5;359.91
02.09.1981;430.0;364.8
03.09.1981;436.5;368.65
04.09.1981;439.5;369.81
07.09.1981;436.5;368.73
08.09.1981;439.0;372.04
09.09.1981;436.75;369.74
10.09.1981;451.5;378.61
11.09.1981;448.25;375.96
14.09.1981;451.25;377.28
15.09.1981;456.0;373.25
16.09.1981;449.0;363.51
17.09.1981;459.0;367.08
18.09.1981;447.0;356.81
21.09.1981;463.5;362.99
22.09.1981;462.0;368.29
23.09.1981;456.5;367.51
24.09.1981;446.25;362.93
25.09.1981;450.5;367.57
28.09.1981;421.5;344.7
29.09.1981;431.75;350.21
30.09.1981;428.75;349.87
01.10.1981;436.75;356.54
02.10.1981;435.0;352.31
05.10.1981;441.25;354.32
06.10.1981;443.0;356.66
07.10.1981;445.5;357.13
08.10.1981;443.25;354.44
09.10.1981;453.5;363.96
12.10.1981;449.5;355.65
13.10.1981;443.25;354.05
14.10.1981;444.25;357.13
15.10.1981;446.65;359.84
16.10.1981;443.75;356.61
19.10.1981;436.7;352.64
20.10.1981;437.3;353.74
21.10.1981;429.0;352.0
22.10.1981;433.75;357.09
23.10.1981;432.5;355.07
26.10.1981;426.0;354.8
27.10.1981;427.4;355.26
28.10.1981;430.8;356.22
29.10.1981;424.5;348.65
30.10.1981;427.0;347.03
02.11.1981;430.0;345.82
03.11.1981;428.25;344.53
04.11.1981;431.25;345.87
05.11.1981;428.5;345.66
06.11.1981;428.25;346.22
09.11.1981;429.75;343.49
10.11.1981;418.5;338.26
11.11.1981;412.0;331.25
12.11.1981;411.5;330.57
13.11.1981;412.5;332.13
16.11.1981;404.25;327.45
17.11.1981;398.75;324.64
18.11.1981;403.75;326.95
19.11.1981;401.0;325.33
20.11.1981;401.5;327.77
23.11.1981;396.75;323.35
24.11.1981;399.25;322.95
25.11.1981;409.5;331.17
26.11.1981;409.5;330.45
27.11.1981;411.5;331.1
30.11.1981;414.5;332.94
01.12.1981;402.5;325.66
02.12.1981;406.75;327.57
03.12.1981;416.5;337.39
04.12.1981;426.0;343.88
07.12.1981;416.75;338.22
08.12.1981;415.25;338.41
09.12.1981;410.25;333.0
10.12.1981;405.5;332.09
11.12.1981;409.75;336.67
14.12.1981;417.5;346.07
15.12.1981;413.25;338.94
16.12.1981;416.75;341.81
17.12.1981;416.25;341.4
18.12.1981;415.75;340.99
21.12.1981;410.5;339.2
22.12.1981;399.6;330.19
23.12.1981;400.4;330.85
24.12.1981;400.4;329.86
25.12.1981;400.4;329.86
28.12.1981;400.4;329.86
29.12.1981;395.0;325.42
30.12.1981;397.5;327.48
31.12.1981;397.5;327.48
01.01.1982;397.5;327.48
04.01.1982;395.0;321.34
05.01.1982;403.5;328.25
06.01.1982;401.5;326.62
07.01.1982;396.5;322.56
08.01.1982;400.25;325.61
11.01.1982;388.25;321.79
12.01.1982;389.0;322.41
13.01.1982;380.0;314.95
14.01.1982;374.75;310.6
15.01.1982;379.25;314.33
18.01.1982;373.75;312.37
19.01.1982;375.25;313.63
20.01.1982;371.5;310.49
21.01.1982;376.0;314.25
22.01.1982;377.25;315.3
25.01.1982;372.0;315.21
26.01.1982;376.5;319.02
27.01.1982;381.75;323.47
28.01.1982;383.5;324.95
29.01.1982;387.0;327.92
01.02.1982;379.5;322.92
02.02.1982;379.15;322.62
03.02.1982;378.0;321.64
04.02.1982;383.75;326.53
05.02.1982;384.25;326.96
08.02.1982;379.75;324.25
09.02.1982;378.5;323.18
10.02.1982;382.15;326.3
11.02.1982;380.0;324.46
12.02.1982;377.5;322.33
15.02.1982;375.25;325.45
16.02.1982;375.25;325.45
17.02.1982;374.0;324.36
18.02.1982;369.25;320.24
19.02.1982;369.25;320.24
22.02.1982;364.25;310.32
23.02.1982;361.0;307.55
24.02.1982;362.75;309.04
25.02.1982;366.45;312.19
26.02.1982;362.6;308.91
01.03.1982;361.25;315.18
02.03.1982;361.25;315.18
03.03.1982;353.75;308.64
04.03.1982;346.5;302.31
05.03.1982;342.4;298.74
08.03.1982;330.5;283.92
09.03.1982;329.25;282.84
10.03.1982;333.0;286.06
11.03.1982;331.75;284.99
12.03.1982;323.25;277.69
15.03.1982;312.0;271.86
16.03.1982;324.5;282.75
17.03.1982;316.0;275.34
18.03.1982;320.0;278.83
19.03.1982;315.75;275.13
22.03.1982;320.8;284.16
23.03.1982;329.25;291.65
24.03.1982;331.75;293.86
25.03.1982;327.75;290.32
26.03.1982;322.25;285.45
29.03.1982;318.5;284.38
30.03.1982;324.25;289.51
31.03.1982;320.0;285.71
01.04.1982;327.0;291.96
02.04.1982;327.75;292.63
05.04.1982;337.5;301.77
06.04.1982;345.5;308.93
07.04.1982;354.0;316.53
08.04.1982;351.5;315.78
09.04.1982;351.5;315.78
12.04.1982;351.5;315.78
13.04.1982;353.5;317.58
14.04.1982;366.75;329.48
15.04.1982;363.25;326.34
16.04.1982;362.75;325.89
19.04.1982;357.0;320.01
20.04.1982;343.0;307.46
21.04.1982;346.75;310.82
22.04.1982;345.0;309.25
23.04.1982;352.25;315.75
26.04.1982;357.0;315.06
27.04.1982;351.75;310.42
28.04.1982;354.5;312.85
29.04.1982;348.75;307.78
30.04.1982;361.25;318.81
03.05.1982;361.25;318.81
04.05.1982;341.75;301.6
05.05.1982;338.4;298.64
06.05.1982;334.5;295.2
07.05.1982;334.75;295.42
10.05.1982;329.0;280.87
11.05.1982;332.25;283.65
12.05.1982;331.5;283.01
13.05.1982;331.0;282.58
14.05.1982;333.25;284.5
17.05.1982;338.5;290.28
18.05.1982;338.0;289.85
19.05.1982;342.0;293.28
20.05.1982;342.5;293.71
21.05.1982;338.5;290.28
24.05.1982;329.0;282.98
25.05.1982;327.9;282.03
26.05.1982;330.25;284.05
27.05.1982;324.25;278.89
28.05.1982;325.25;284.76
31.05.1982;325.25;284.76
01.06.1982;318.75;279.07
02.06.1982;318.5;278.85
03.06.1982;320.35;280.47
04.06.1982;318.75;279.07
07.06.1982;325.25;288.59
08.06.1982;328.75;291.7
09.06.1982;326.0;289.26
10.06.1982;326.75;289.92
11.06.1982;325.25;288.59
14.06.1982;320.75;295.16
15.06.1982;315.0;289.87
16.06.1982;317.0;291.71
17.06.1982;309.0;284.35
18.06.1982;308.75;284.12
21.06.1982;296.75;280.2
22.06.1982;304.0;287.04
23.06.1982;304.0;287.04
24.06.1982;310.25;292.94
25.06.1982;305.5;288.46
28.06.1982;303.75;288.0
29.06.1982;309.0;292.98
30.06.1982;317.5;301.04
01.07.1982;310.25;294.16
02.07.1982;312.75;296.54
05.07.1982;315.25;297.68
06.07.1982;311.0;293.66
07.07.1982;306.75;289.65
08.07.1982;313.5;296.02
09.07.1982;328.5;310.19
12.07.1982;343.0;322.06
13.07.1982;352.5;330.98
14.07.1982;352.75;331.21
15.07.1982;350.25;328.87
16.07.1982;347.0;325.81
19.07.1982;347.5;326.2
20.07.1982;347.75;326.44
21.07.1982;366.5;344.04
22.07.1982;353.0;331.36
23.07.1982;363.25;340.99
26.07.1982;352.25;323.75
27.07.1982;351.25;322.83
